Country,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,Temperature,Humidity,WindSpeed,Date,Station_ID,Status,Year,Month,Month_Name,Quarter,High_AQI_Flag,Pollution_Load
Vietnam,Hanoi,144.84,237.41,86.8,23.52,4.25,66.54,163.0,40.63,80.35,5.06,2024-01-01,5506,Unhealthy,2024,1,January,1,1,0.45481832333132616
China,Beijing,96.83,133.87,54.45,26.41,3.63,58.36,79.0,19.9,71.28,4.18,2024-01-02,3286,Moderate,2024,1,January,1,0,0.3283341467306342
Vietnam,Da Nang,193.28,255.09,107.68,65.13,4.4,64.36,184.0,18.79,72.51,4.8,2024-01-03,9935,Unhealthy,2024,1,January,1,1,0.5924384537413016
Vietnam,Da Nang,89.91,114.48,49.24,10.23,6.7,116.31,76.0,34.58,40.58,6.42,2024-01-04,7912,Moderate,2024,1,January,1,0,0.3879856070911278
Vietnam,Hanoi,53.59,95.49,36.85,25.5,3.95,74.92,64.0,33.91,68.43,5.77,2024-01-05,2535,Moderate,2024,1,January,1,0,0.2856001863747217
China,Beijing,46.07,78.2,22.04,9.78,2.42,52.0,60.0,30.59,57.3,4.65,2024-01-06,9279,Moderate,2024,1,January,1,0,0.18172904748079508
USA,New York,171.55,285.25,57.82,41.75,4.62,93.28,177.0,30.65,84.51,5.04,2024-01-07,4257,Unhealthy,2024,1,January,1,1,0.532672733485972
USA,Los Angeles,64.68,105.94,40.02,29.42,3.13,40.09,92.0,30.89,52.1,6.72,2024-01-08,4611,Moderate,2024,1,January,1,0,0.2549278194485971
Germany,Hamburg,118.21,178.93,60.73,13.02,3.13,109.12,89.0,28.7,59.02,6.18,2024-01-09,5557,Moderate,2024,1,January,1,0,0.40430324188926253
Vietnam,Hanoi,109.02,157.66,73.89,20.88,2.68,78.93,109.0,21.53,54.96,7.83,2024-01-10,7924,Unhealthy for Sensitive Groups,2024,1,January,1,1,0.37420392684981096
Japan,Osaka,93.51,162.29,53.27,39.55,6.9,82.83,101.0,22.38,58.45,5.22,2024-01-11,3547,Unhealthy for Sensitive Groups,2024,1,January,1,1,0.4289291343201295
China,Shanghai,134.81,162.33,74.87,35.99,4.49,76.53,137.0,25.26,48.95,5.68,2024-01-12,2674,Unhealthy for Sensitive Groups,2024,1,January,1,1,0.4392006440043657
Vietnam,Ho Chi Minh City,214.31,303.93,151.46875,93.33125000000001,7.52,74.36,273.0,12.65,64.47,6.12,2024-01-13,2584,Very Unhealthy,2024,1,January,1,1,0.7757369534072356
Japan,Osaka,110.38,142.05,60.13,54.56,3.81,77.54,94.0,37.14,80.04,7.58,2024-01-14,5333,Moderate,2024,1,January,1,0,0.42453532782235487
Vietnam,Da Nang,190.14,300.44,107.98,25.88,13.33,34.95,228.0,20.08,53.67,6.2,2024-01-15,8527,Very Unhealthy,2024,1,January,1,1,0.6030365173564809
USA,New York,42.47,67.4,16.44,15.98,1.83,71.71,20.0,21.73,58.56,7.63,2024-01-16,7201,Good,2024,1,January,1,0,0.19781403322269178
Vietnam,Da Nang,131.37,199.4,55.3,18.03,9.7,102.68,147.0,30.08,80.64,3.53,2024-01-17,5803,Unhealthy for Sensitive Groups,2024,1,January,1,1,0.4908430787439378
USA,Los Angeles,146.1,253.08,100.8,52.13,3.66,77.42,159.0,30.34,50.71,9.73,2024-01-18,4150,Unhealthy,2024,1,January,1,1,0.5370698201391677
Vietnam,Hanoi,60.43,98.35,25.3,13.91,3.92,86.41,95.0,35.71,73.26,7.64,2024-01-19,4733,Moderate,2024,1,January,1,0,0.27188365244602924
Japan,Tokyo,107.73,146.42,45.46,52.7,4.7,51.16,132.0,30.21,81.54,6.03,2024-01-20,4814,Unhealthy for Sensitive Groups,2024,1,January,1,1,0.3815449160507684
Vietnam,Ho Chi Minh City,106.77,140.63,70.6,22.67,2.29,136.46374999999995,116.0,19.43,74.65,5.55,2024-01-21,5554,Unhealthy for Sensitive Groups,2024,1,January,1,1,0.433228613979502
Germany,Hamburg,143.66,255.46,104.37,31.29,6.19,68.18,150.0,24.43,82.13,6.43,2024-01-22,6977,Unhealthy for Sensitive Groups,2024,1,January,1,1,0.5195576591692151
China,Shanghai,128.66,198.4,44.85,44.52,10.22,79.63,169.0,28.47,42.14,6.72,2024-01-23,6820,Unhealthy,2024,1,January,1,1,0.5013651480197047
China,Shenzhen,174.15,246.55,77.81,73.8,11.95,96.35,226.0,32.12,100.0,7.14,2024-01-24,5374,Very Unhealthy,2024,1,January,1,1,0.6835116169865009
Vietnam,Da Nang,167.7,290.79,78.65,41.96,4.3,86.28,141.0,24.12,66.64,10.63,2024-01-25,3803,Unhealthy for Sensitive Groups,2024,1,January,1,1,0.5437030891423257
USA,Chicago,154.31,188.0,49.18,66.21,6.42,29.68,164.0,28.51,43.45,4.57,2024-01-26,5010,Unhealthy,2024,1,January,1,1,0.45188001932210903
China,Shanghai,83.48,102.77,47.22,26.4,4.86,75.41,105.0,11.8,68.73,4.68,2024-01-27,7216,Unhealthy for Sensitive Groups,2024,1,January,1,1,0.33288186495959954
Japan,Kyoto,80.37,97.67,62.8,34.91,4.96,67.13,82.0,18.4,58.31,5.05,2024-01-28,4598,Moderate,2024,1,January,1,0,0.35188627808115586
Japan,Tokyo,208.27,332.43,91.63,93.33125000000001,13.39,80.12,257.0,44.98,85.65,2.96,2024-01-29,4752,Very Unhealthy,2024,1,January,1,1,0.7908976812063271
Vietnam,Ho Chi Minh City,183.35,221.6,65.64,21.71,4.11,52.31,164.0,31.55,80.49,4.15,2024-01-30,7572,Unhealthy,2024,1,January,1,1,0.42707375170219525
Japan,Tokyo,5.0,10.0,2.58,1.3,0.28,44.39,10.0,24.48,67.61,8.88,2024-01-31,4456,Good,2024,1,January,1,0,0.053147376979202854
