Country,Year,Month,Month_Name,avg_aqi,avg_pm25,avg_pm10,record_count
China,2024,1,January,131.4952606635071,118.29732227488152,176.63031990521327,211
China,2024,2,February,138.75449101796409,123.88904191616767,185.62535928143714,167
China,2024,3,March,131.27333333333334,118.4063,172.4991,150
China,2024,4,April,132.5989010989011,117.30454670329671,175.78506868131868,182
China,2024,5,May,137.6737804878049,122.30128048780487,182.77461890243902,164
China,2024,6,June,138.1595744680851,121.92382978723404,182.70561170212764,188
China,2024,7,July,128.8950276243094,117.7107458563536,175.4960773480663,181
China,2024,8,August,137.6264367816092,121.26816091954024,180.54446839080458,174
China,2024,9,September,135.5625,120.81505681818182,181.77973011363636,176
China,2024,10,October,140.13823529411764,124.7342794117647,188.07867647058825,170
China,2024,11,November,131.89385474860336,119.34966480446927,176.29402234636873,179
China,2024,12,December,136.35798816568047,121.17952662721893,184.1132396449704,169
Germany,2024,1,January,129.31446540880503,118.51761006289308,179.2648427672956,159
Germany,2024,2,February,133.94444444444446,120.56841666666666,180.9194861111111,180
Germany,2024,3,March,129.42816091954023,115.53419540229885,175.3712068965517,174
Germany,2024,4,April,142.9794520547945,127.91527397260275,189.09972602739728,146
Germany,2024,5,May,142.97151898734177,126.45392405063292,190.75011075949368,158
Germany,2024,6,June,134.42592592592592,118.86302469135804,181.32202160493827,162
Germany,2024,7,July,133.83152173913044,120.00589673913043,178.88888586956523,184
Germany,2024,8,August,133.7337278106509,118.08440828402367,178.87786982248522,169
Germany,2024,9,September,131.49707602339183,115.95304093567252,174.28333333333333,171
Germany,2024,10,October,136.8109756097561,121.66544969512195,183.41176829268292,164
Germany,2024,11,November,133.14144736842104,117.96072368421052,178.9353947368421,152
Germany,2024,12,December,134.09756097560975,119.9580487804878,181.58361280487804,164
Japan,2024,1,January,145.45486111111111,125.65405381944444,189.86465277777776,144
Japan,2024,2,February,132.30689655172415,119.85089655172415,176.2218103448276,145
Japan,2024,3,March,133.89945652173913,120.4486277173913,179.90927989130435,184
Japan,2024,4,April,134.0670731707317,122.24067073170733,180.6436280487805,164
Japan,2024,5,May,131.8342541436464,120.9533908839779,182.63704419889504,181
Japan,2024,6,June,132.88036809815952,119.52733128834355,178.47912576687116,163
Japan,2024,7,July,138.8265306122449,122.54386054421768,184.24248299319729,147
Japan,2024,8,August,138.00301204819277,122.48851656626506,181.9780421686747,166
Japan,2024,9,September,137.22881355932202,122.91247175141243,183.51570621468926,177
Japan,2024,10,October,143.36918604651163,127.39644622093024,192.24411337209304,172
Japan,2024,11,November,134.69938650306747,121.20003067484663,181.99113496932515,163
Japan,2024,12,December,130.07692307692307,115.24940705128206,172.81564102564104,156
USA,2024,1,January,132.36337209302326,117.83275436046512,177.20373546511627,172
USA,2024,2,February,132.53246753246754,120.12415584415584,178.63769480519483,154
USA,2024,3,March,131.29479768786126,116.7944436416185,174.07955202312138,173
USA,2024,4,April,144.79705882352943,128.08172794117647,191.2077794117647,170
USA,2024,5,May,133.66081871345028,118.74312134502924,176.3433187134503,171
USA,2024,6,June,132.57462686567163,120.05335820895522,181.79326492537314,134
USA,2024,7,July,139.97727272727272,124.10698863636365,186.47826704545457,176
USA,2024,8,August,129.41616766467067,114.23754491017964,169.99399700598804,167
USA,2024,9,September,131.45255474452554,119.23480839416058,175.75474452554747,137
USA,2024,10,October,135.19642857142858,119.76425595238095,181.30020833333333,168
USA,2024,11,November,134.42857142857142,119.28490683229813,179.51888198757766,161
USA,2024,12,December,135.79430379746836,121.91897151898733,180.05952531645568,158
Vietnam,2024,1,January,138.9010989010989,125.02254807692307,187.21684065934065,182
Vietnam,2024,2,February,133.86144578313252,118.96367469879519,179.41534638554216,166
Vietnam,2024,3,March,129.45989304812835,116.1645655080214,172.48775401069517,187
Vietnam,2024,4,April,145.82584269662922,126.58237359550562,190.32516853932583,178
Vietnam,2024,5,May,126.16844919786097,113.01534759358289,169.1478475935829,187
Vietnam,2024,6,June,134.8435582822086,120.6579601226994,183.00136503067483,163
Vietnam,2024,7,July,128.48322147651007,114.16530201342283,172.68489932885905,149
Vietnam,2024,8,August,132.53416149068323,119.73857142857143,179.5351552795031,161
Vietnam,2024,9,September,130.25838926174498,116.97738255033558,175.4681543624161,149
Vietnam,2024,10,October,137.6564417177914,125.02502300613497,187.89789877300612,163
Vietnam,2024,11,November,141.10645161290321,126.53799193548386,188.62809677419355,155
Vietnam,2024,12,December,140.25460122699386,122.38861196319019,181.42796012269937,163
