Country,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,Temperature,Humidity,WindSpeed,Date,Station_ID,Status
Vietnam,Hanoi,144.84,237.41,86.8,23.52,4.25,66.54,163,40.63,80.35,5.06,2024-01-01,5506,Unhealthy
China,Beijing,96.83,133.87,54.45,26.41,3.63,58.36,79,19.9,71.28,4.18,2024-01-02,3286,Moderate
Vietnam,Da Nang,193.28,255.09,107.68,65.13,4.4,64.36,184,18.79,72.51,4.8,2024-01-03,9935,Unhealthy
Vietnam,Da Nang,89.91,114.48,49.24,10.23,6.7,116.31,76,34.58,40.58,6.42,2024-01-04,7912,Moderate
Vietnam,Hanoi,53.59,95.49,36.85,25.5,3.95,74.92,64,33.91,68.43,5.77,2024-01-05,2535,Moderate
China,Beijing,46.07,78.2,22.04,9.78,2.42_err,52.0,60,30.59,57.3,4.65,2024-01-06,9279,Moderate
USA,New York,171.55,285.25,57.82,41.75,4.62,93.28,177,30.65,84.51,5.04,2024-01-07,4257,Unhealthy
USA,Los Angeles,64.68,105.94,40.02,29.42,3.13,40.09,92,30.89,52.1,6.72,2024-01-08,4611,Moderate
Germany,Hamburg,118.21,178.93,60.73,13.02,3.13,109.12,89,28.7,59.02,6.18,2024-01-09,5557,Moderate
Vietnam,Hanoi,109.02,157.66,73.89,20.88,2.68,78.93,109,21.53,54.96,7.83,2024-01-10,7924,Unhealthy for Sensitive Groups
Japan,Osaka,93.51,162.29,53.27,39.55,6.9,82.83,101,22.38,58.45,5.22,2024-01-11,3547,Unhealthy for Sensitive Groups
China,Shanghai,134.81,162.33,74.87,35.99,4.49,76.53,137,25.26,48.95,5.68,2024-01-12,2674,Unhealthy for Sensitive Groups
Vietnam,Ho Chi Minh City,214.31,303.93,168.42,103.94,7.52,74.36,273,12.65,64.47,6.12,2024-01-13,2584,Very Unhealthy
Japan,Osaka,110.38,142.05,60.13,54.56,3.81,77.54,94,37.14,80.04,7.58,2024-01-14,5333,Moderate
Vietnam,Da Nang,190.14,300.44,107.98,25.88,13.33,34.95,228,20.08,53.67,6.2,2024-01-15,8527,Very Unhealthy
USA,New York,42.47,67.4,16.44,15.98,1.83,71.71,20,21.73,58.56,7.63,2024-01-16,7201,Good
Vietnam,Da Nang,131.37,199.4,55.3,18.03,9.7,102.68,147,30.08,80.64,3.53,2024-01-17,5803,Unhealthy for Sensitive Groups
USA,Los Angeles,146.1,253.08,100.8,52.13,3.66,77.42,159,30.34,50.71,9.73,2024-01-18,4150,Unhealthy
Vietnam,Hanoi,60.43,98.35,25.3,13.91,3.92,86.41,95,35.71,73.26,7.64,2024-01-19,4733,Moderate
Japan,Tokyo,107.73,146.42,45.46,52.7,4.7,51.16,132,30.21,81.54,6.03,2024-01-20,4814,Unhealthy for Sensitive Groups
Vietnam,Ho Chi Minh City,106.77,140.63,70.6,22.67,2.29,138.0,116,19.43,74.65,5.55,2024-01-21,5554,Unhealthy for Sensitive Groups
