feature,importance
num__PM2.5,0.5290552515160082
num__High_AQI_Flag,0.14612789794429873
cat__Status_Very Unhealthy,0.11679104376114192
num__Pollution_Load,0.06371217393992085
cat__Status_Unhealthy for Sensitive Groups,0.04678236128586309
cat__Status_Moderate,0.023707167135370036
cat__Status_Good,0.020645962067408638
cat__Status_Hazardous,0.019646048710044915
num__CO,0.007140075302993354
num__PM10,0.006183145150015163
cat__Status_Unhealthy,0.005751163719518601
num__WindSpeed,0.0028473432640080476
num__NO2,0.001871352533662733
num__Humidity,0.0017188058735892054
num__SO2,0.0017042039296960246
num__Temperature,0.0016373683939742822
num__O3,0.0016048145169979481
num__Month,0.0008250937090368187
num__Quarter,0.00022149144396384888
cat__City_Ho Chi Minh City,0.00014202268551625496
cat__Country_USA,0.000124486195715508
cat__City_Hamburg,0.00011857949658639876
cat__Country_Japan,0.00011776856124291125
cat__City_Munich,0.0001151789251685795
cat__City_Da Nang,0.00011429477898301548
cat__Country_Vietnam,0.00011400639435175853
cat__Country_China,0.00011247082938562475
cat__Country_Germany,0.00011206519726252033
cat__City_Shanghai,0.00011018440909606361
cat__City_Chicago,0.00010443376385799642
cat__City_Los Angeles,0.00010098325694925904
cat__City_Kyoto,9.822783750595659e-05
cat__City_Tokyo,9.56278659073073e-05
cat__City_Shenzhen,9.414641767680214e-05
cat__City_New York,8.041549105612981e-05
cat__City_Berlin,7.79760449818667e-05
cat__City_Hanoi,6.986292605012355e-05
cat__City_Beijing,6.254029728711673e-05
cat__City_Osaka,6.196442790641427e-05
